,RF,,,Xgboost,
,importance,,columns,importances,
PRLR|5618,0.012213689,,74,ACPP|55,0.083236
HNF1B|6928,0.011824903,,4811,PAX8|7849,0.060961
TRPS1|7227,0.011582311,,4015,MBIP|51562,0.057444
TFAP2A|7020,0.009964313,,2221,EPHB2|2048,0.05041
MET|4233,0.009460354,,7052,TRPS1|7227,0.046893
RWDD2A|112611,0.009208801,,7786,TCF21|6943,0.045721
SPDEF|25803,0.008351824,,164,AGMAT|79814,0.038687
ENPEP|2028,0.008004634,,7784,HNF1B|6928,0.037515
ACPP|55,0.00772537,,1725,CTSC|1075,0.024619
SLC4A4|8671,0.007680734,,7365,WNK4|65266,0.021102
FOXF1|2294,0.007319378,,7823,OR51E2|81285,0.01993
NKX3-1|4824,0.00731542,,4125,MIAT|440823,0.017585
KCNE3|10008,0.006951905,,3582,LAMB3|3914,0.017585
C9orf152|401546,0.006693433,,2685,GATA3|2625,0.016413
SLC15A4|121260,0.005898945,,5655,RHOBTB2|23221,0.01524
ALPK2|115701,0.005717022,,1783,CYP2S1|29785,0.014068
ENPP1|5167,0.005680693,,3219,IGSF9|57549,0.014068
HHLA2|11148,0.005582098,,6225,SLC3A1|6519,0.012896
SEMA5B|54437,0.005503124,,4364,N4BP3|23138,0.012896
OR51E2|81285,0.005345511,,561,B3GNT7|93010,0.012896
IHH|3549,0.005341689,,7793,HOXA11|3207,0.011723
RBP5|83758,0.005205639,,3930,MAFK|7975,0.010551
FXYD3|5349,0.005058056,,5106,PLS3|5358,0.010551
TCF21|6943,0.005052563,,203,AKR1C2|1646,0.010551
HSD17B11|51170,0.005002948,,2993,HEPH|9843,0.009379
PIK3R3|8503,0.004978747,,269,ANKHD1-EIF4EBP3|404734,0.008206
CNN1|1264,0.00497021,,239,AMACR|23600,0.007034
TMEM37|140738,0.00496773,,3848,LRRC20|55222,0.007034
HNF1A|6927,0.004957174,,1682,CRYAB|1410,0.007034
TBC1D9|23158,0.004910284,,1023,C5orf49|134121,0.007034
KIF5C|3800,0.004888309,,2726,GHR|2690,0.007034
PAX8|7849,0.004804367,,7270,VAV3|10451,0.007034
PPAP2A|8611,0.004790482,,5356,PTGER3|5733,0.005862
RAB25|57111,0.004640384,,3109,HR|55806,0.005862
GAL3ST1|9514,0.004623711,,6703,TFPI|7035,0.005862
MAPK10|5602,0.004465381,,935,C20orf118|140711,0.004689
ALDH1A3|220,0.004448818,,6545,SULF2|55959,0.004689
NAAA|27163,0.004443516,,234,ALPK2|115701,0.004689
GPX3|2878,0.004417312,,6697,TFAP2A|7020,0.004689
SLC13A3|64849,0.004408123,,6691,TESC|54997,0.004689
ARHGEF2|9181,0.004242041,,2697,GCLM|2730,0.003517
MYB|4602,0.004209939,,6786,TMC6|11322,0.003517
PMEPA1|56937,0.004173872,,3520,KLF5|688,0.003517
FAAH|2166,0.004166283,,6921,TNFSF10|8743,0.003517
GALNT6|11226,0.004155627,,2098,EFHD1|80303,0.003517
MCTP2|55784,0.004060287,,2847,GPR35|2859,0.003517
MBIP|51562,0.004059224,,6657,TBX3|6926,0.003517
FAM83E|54854,0.004010864,,6474,ST3GAL5|8869,0.003517
C18orf45|85019,0.003992235,,202,AKR1C1|1645,0.003517
KBTBD11|9920,0.003970689,,4441,NDRG2|57447,0.003517
